id_icpe,nom_original,structure,etablissement,nom_complet,code_insee_commune,nom_commune,epci_siren,epci_nom,coordonnees_lat_lon,geometrie_geojson,id_ligne_export,siret,regime_icpe,categorie_seveso,priorite_nationale,url_fiche_georisques,elevage_bovins,elevage_porcs,elevage_volailles,activite_carriere,activite_eolienne,activite_industrielle,directive_ied,code_naf_division,date_enregistrement,annee_enregistrement
5200590,LESIEUR,LESIEUR,Bordeaux,LESIEUR — Bordeaux,33063,Bordeaux,243300316,Bordeaux Métropole,"44.8615579, -0.552146","{""coordinates"": [-0.552146, 44.8615579], ""type"": ""Point""}",547,45720861900108,NON_ICPE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200590,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,2025-02-12T00:00:00+01:00,2025
5200602,BONNIEU,BONNIEU,,BONNIEU,33065,Bouliac,243300316,Bordeaux Métropole,"44.8061009, -0.516384","{""coordinates"": [-0.516384, 44.8061009], ""type"": ""Point""}",554,38174994400017,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200602,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,45,2026-03-06T00:00:00+01:00,2026
5200608,TOTAL MARKETING FRANCE - SARL CASALS,TOTAL MARKETING FRANCE,SARL CASALS,TOTAL MARKETING FRANCE — SARL CASALS,33063,Bordeaux,243300316,Bordeaux Métropole,"44.8542639, -0.599225","{""coordinates"": [-0.599225, 44.8542639], ""type"": ""Point""}",556,85207973000028,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200608,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73,2025-05-04T00:00:00+02:00,2025
5200615,FDI-SAMBRON,FDI-SAMBRON,,FDI-SAMBRON,33069,Le Bouscat,243300316,Bordeaux Métropole,"44.8682859, -0.607868","{""coordinates"": [-0.607868, 44.8682859], ""type"": ""Point""}",557,33269090800014,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200615,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2025-02-10T00:00:00+01:00,2025
5200626,SOFRICA (rue Henri Delattre)TGR Logistiq,SOFRICA (rue Henri Delattre)TGR Logistiq,,SOFRICA (rue Henri Delattre)TGR Logistiq,33075,Bruges,243300316,Bordeaux Métropole,"44.8899619, -0.6059269","{""coordinates"": [-0.6059269, 44.8899619], ""type"": ""Point""}",559,,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200626,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2025-02-10T00:00:00+01:00,2025
5200645,CdC du Bazadais,CdC du Bazadais,Captieux,CdC du Bazadais — Captieux,33095,Captieux,200043982,CC du Bazadais,"44.2852939, -0.2932139","{""coordinates"": [-0.2932139, 44.2852939], ""type"": ""Point""}",567,24330123100011,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200645,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2025-02-10T00:00:00+01:00,2025
3106114,DOMINIQUE GOURBILLE,DOMINIQUE GOURBILLE,,DOMINIQUE GOURBILLE,33228,Lansac,243301223,CC du Grand Cubzaguais,"45.0645249, -0.544245","{""coordinates"": [-0.544245, 45.0645249], ""type"": ""Point""}",322,42862587500011,NON_ICPE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003106114,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2025-02-10T00:00:00+01:00,2025
3107008,VDLV,VDLV,,VDLV,33122,Cestas,243301165,CC Jalle-Eau-Bourde,"44.7237189, -0.7279599","{""coordinates"": [-0.7279599, 44.7237189], ""type"": ""Point""}",388,75085581900033,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003107008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,2025-02-10T00:00:00+01:00,2025
3107038,SAS DESTINATION,SAS DESTINATION,,SAS DESTINATION,33122,Cestas,243301165,CC Jalle-Eau-Bourde,"44.7122649, -0.730613","{""coordinates"": [-0.730613, 44.7122649], ""type"": ""Point""}",389,42503961700047,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003107038,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,46,2025-02-10T00:00:00+01:00,2025
3107048,SAINT-SULPICE AUTO,SAINT-SULPICE AUTO,,SAINT-SULPICE AUTO,33480,Saint-Sulpice-de-Faleyrens,200035533,CC du Grand Saint Emilionnais,"44.8568649, -0.1852399","{""coordinates"": [-0.1852399, 44.8568649], ""type"": ""Point""}",391,42129550200015,NON_ICPE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003107048,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-08-31T00:00:00+02:00,2025
3107049,CIORBEA Petru,CIORBEA Petru,,CIORBEA Petru,33480,Saint-Sulpice-de-Faleyrens,200035533,CC du Grand Saint Emilionnais,"44.8861789, -0.202685","{""coordinates"": [-0.202685, 44.8861789], ""type"": ""Point""}",392,53771565800028,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003107049,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,45,2025-07-17T00:00:00+02:00,2025
3107059,INTERMARCHE SAINT ANDRE DISTRIBUTION,INTERMARCHE SAINT ANDRE DISTRIBUTION,,INTERMARCHE SAINT ANDRE DISTRIBUTION,33366,Saint-André-de-Cubzac,243301223,CC du Grand Cubzaguais,"44.9966729, -0.429074","{""coordinates"": [-0.429074, 44.9966729], ""type"": ""Point""}",395,39476267800016,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003107059,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,2025-02-10T00:00:00+01:00,2025
3107114,DFA DESAMIANTAGE,DFA DESAMIANTAGE,,DFA DESAMIANTAGE,33167,Floirac,243300316,Bordeaux Métropole,"44.8315039, -0.5195579","{""coordinates"": [-0.5195579, 44.8315039], ""type"": ""Point""}",399,,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003107114,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-07-10T00:00:00+02:00,2025
3107119,TR EXPRESS,TR EXPRESS,,TR EXPRESS,33281,Mérignac,243300316,Bordeaux Métropole,"44.8421259, -0.6893919","{""coordinates"": [-0.6893919, 44.8421259], ""type"": ""Point""}",400,38480188200042,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003107119,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,2025-02-10T00:00:00+01:00,2025
3107198,CEMEX GRANULATS SUD OUEST,CEMEX GRANULATS SUD OUEST,Saint-Loubes,CEMEX GRANULATS SUD OUEST — Saint-Loubes,33433,Saint-Loubès,243301249,CC Les Rives de la Laurence,"44.9276259, -0.43009","{""coordinates"": [-0.43009, 44.9276259], ""type"": ""Point""}",402,89695029200251,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003107198,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,8,2026-04-01T00:00:00+02:00,2026
